lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
musdev-utm,MB_12,ADS,ADS2,2,14.322,18,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS3,3,17.051,18,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS3,3,14.616,18,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS4,4,16.926,17.55,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS4,4,3.214,3.214,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS5,5,5.725,5.725,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS5,5,18,18,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS6,6,8.112,8.112,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS6,6,18,18,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS7,7,14.275,18,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS7,7,15.786,18,noerror,NA,NA
musdev-utm,MB_12,ADS,ADS8,8,18,18,noerror,NA,NA
musdev-utm,MB_12,IDS,IDS8,8,17.41,17.41,noerror,NA,NA
musdev-utm,MB_14,IDS,IDS1,1,12.121,12.121,noerror,NA,NA
musdev-utm,MB_14,ADS,ADS1,1,5.912,5.912,noerror,NA,NA
musdev-utm,MB_14,IDS,IDS2,2,6.287,6.287,noerror,NA,NA
musdev-utm,MB_14,ADS,ADS2,2,3.853,5.163,noerror,NA,NA
musdev-utm,MB_14,ADS,ADS3,3,4.664,4.664,noerror,NA,NA
musdev-utm,MB_14,IDS,IDS3,3,3.464,3.464,noerror,NA,NA
musdev-utm,MB_14,IDS,IDS4,4,4.68,4.68,noerror,NA,NA
musdev-utm,MB_14,ADS,ADS4,4,3.152,3.152,noerror,NA,NA
musdev-utm,MB_14,ADS,ADS5,5,5.023,5.023,noerror,NA,NA
musdev-utm,MB_14,IDS,IDS5,5,4.883,4.883,noerror,NA,NA
musdev-utm,MB_14,ADS,ADS6,6,7.145,7.145,noerror,NA,NA
musdev-utm,MB_14,IDS,IDS6,6,4.102,4.102,noerror,NA,NA
musdev-utm,MB_14,IDS,IDS7,7,3.588,3.588,noerror,NA,NA
musdev-utm,MB_14,ADS,ADS7,7,3.884,3.884,noerror,NA,NA
musdev-utm,MB_14,ADS,ADS8,8,7.114,8.253,noerror,NA,NA
musdev-utm,MB_14,IDS,IDS8,8,3.339,3.339,noerror,NA,NA
musdev-utm,MB_16,IDS,IDS5,1,4.868,4.868,noerror,NA,NA
musdev-utm,MB_16,ADS,ADS5,1,5.117,5.117,noerror,NA,NA
musdev-utm,MB_16,ADS,ADS7,2,6.49,10.202,noerror,NA,NA
musdev-utm,MB_16,IDS,IDS7,2,16.537,8,noerror,NA,NA
musdev-utm,MB_16,ADS,ADS1,3,7.91,10.359,noerror,NA,NA
musdev-utm,MB_16,IDS,IDS1,3,13.354,17.895,noerror,NA,NA
musdev-utm,MB_16,ADS,ADS3,4,4.758,5.787,noerror,NA,NA
musdev-utm,MB_16,IDS,IDS3,4,11.81,15.991,noerror,NA,NA
musdev-utm,MB_16,ADS,ADS2,5,5.835,7.395,noerror,NA,NA
musdev-utm,MB_16,IDS,IDS2,5,11.654,11.654,noerror,NA,NA
musdev-utm,MB_16,IDS,IDS4,6,6.349,8.549,noerror,NA,NA
musdev-utm,MB_16,ADS,ADS4,6,11.512,14.493,noerror,NA,NA
musdev-utm,MB_16,IDS,IDS6,7,4.135,5.976,noerror,NA,NA
musdev-utm,MB_16,ADS,ADS6,7,4.103,4.758,noerror,NA,NA
musdev-utm,MB_16,IDS,IDS8,8,3.728,3.728,noerror,NA,NA
musdev-utm,MB_16,ADS,ADS8,8,3.713,3.713,noerror,NA,NA
musdev-utm,MB_19,ADS,ADS5,1,15.274,17.988,noerror,NA,NA
musdev-utm,MB_19,IDS,IDS5,1,9.765,11.607,noerror,NA,NA
musdev-utm,MB_19,IDS,IDS7,2,14.65,17.958,noerror,NA,NA
musdev-utm,MB_19,ADS,ADS7,2,6.895,9.469,noerror,NA,NA
musdev-utm,MB_19,IDS,IDS1,3,7.8,8.346,noerror,NA,NA
musdev-utm,MB_19,ADS,ADS1,3,12.387,12.387,noerror,NA,NA
musdev-utm,MB_19,IDS,IDS3,4,15.21,18,noerror,NA,NA
musdev-utm,MB_19,ADS,ADS3,4,17.082,17.987,noerror,NA,NA
musdev-utm,MB_19,IDS,IDS2,5,10.125,10.858,noerror,NA,NA
musdev-utm,MB_19,ADS,ADS2,5,16.941,16.941,noerror,NA,NA
musdev-utm,MB_19,ADS,ADS4,6,7.035,7.986,noerror,NA,NA
musdev-utm,MB_19,IDS,IDS4,6,4.587,4.587,noerror,NA,NA
musdev-utm,MB_19,ADS,ADS6,7,3.978,3.978,noerror,NA,NA
musdev-utm,MB_19,IDS,IDS6,7,3.369,3.369,noerror,NA,NA
musdev-utm,MB_19,ADS,ADS8,8,6.817,6.817,noerror,NA,NA
musdev-utm,MB_19,IDS,IDS8,8,4.696,6.678,noerror,NA,NA
musdev-utm,MB_20,IDS,IDS1,1,17.005,18,noerror,NA,NA
musdev-utm,MB_20,ADS,ADS1,1,11.528,12.199,noerror,NA,NA
musdev-utm,MB_20,IDS,IDS2,2,16.771,16.771,noerror,NA,NA
musdev-utm,MB_20,ADS,ADS2,2,8.267,8.798,noerror,NA,NA
musdev-utm,MB_20,ADS,ADS3,3,7.488,8.362,noerror,NA,NA
musdev-utm,MB_20,IDS,IDS3,3,5.46,5.959,noerror,NA,NA
musdev-utm,MB_20,IDS,IDS4,4,13.182,17.675,noerror,NA,NA
musdev-utm,MB_20,ADS,ADS4,4,8.174,10.53,noerror,NA,NA
musdev-utm,MB_20,ADS,ADS5,5,9.047,15.569,noerror,NA,NA
musdev-utm,MB_20,IDS,IDS5,5,5.398,6.116,noerror,NA,NA
musdev-utm,MB_20,ADS,ADS6,6,14.759,17.987,noerror,NA,NA
